protein_id,class_id
8ugd_8_R_3U_model1,96
8h0v_18_R_c_model1,86
3j3q_1_DX_4F_model1,8
4u4u_23_XC_d1_model1,83
6rny_4_H_H_model1,34
5cp6_5_E_C_model1,14
7btb_26_Z_Z_model1,45
6esh_4_H_H_model1,70
7w37_20_RA_T_model1,33
6epf_12_L_5_model1,20
8shp_9_Q_z_model1,75
3j3y_1_FOA_56_model1,8
3j6y_64_LB_17_model1,0
7mpi_3_C_BC_model1,87
6ylx_23_W_a_model1,74
7vuy_2_B_A_model1,21
8ieg_3_C_C_model1,14
8rae_1_A_A_model1,15
4a0v_1_N_N_model1,66
3j3q_1_LX_aS_model1,8
5dc3_64_NE_n8_model1,74
3j3q_1_MOA_b0_model1,8
3j3q_1_RAA_eh_model1,8
8sn1_3_C_C_model1,14
6nr9_8_H_H_model1,35
3j3q_1_NBA_bQ_model1,8
8evt_24_X_BR_model1,0
8j20_3_C_C_model1,21
4yxw_3_G_G_model1,38
3j3q_1_NPA_bs_model1,8
6qt0_23_W_W_model1,62
6fyy_21_U_R_model1,12
7asl_1_B_B_model1,8
3j3q_1_XS_kC_model1,8
3j3q_1_AZ_1n_model1,8
3j3y_1_OMA_b4_model1,8
3j3q_1_IG_7r_model1,8
7pmg_2_B_C_model1,90
7qya_30_DA_R_model1,60
1m19_5_J_H_model1,70
7crp_4_D_D_model1,70
3j3q_1_XIA_ju_model1,8
7w3a_19_S_s_model1,92
8pw6_63_WB_l1_model1,18
4v8u_38_QC_DC_model1,11
3hmg_2_F_F_model1,53
5cpk_4_D_D_model1,56
7swy_4_D_D_model1,56
7pj1_1_A_A_model1,14
3j6x_69_QB_22_model1,17
8d14_1_A_A_model1,90
3j3y_1_DG_3N_model1,8
6qc4_34_RA_B8_model1,81
5xrt_2_D_D_model1,51
7nj5_3_C_C_model1,84
4u3n_53_AB_M7_model1,37
7r7a_56_DB_a_model1,55
4u52_53_CE_m7_model1,37
5dat_11_K_S9_model1,16
4u4z_53_AB_M7_model1,37
6lqv_8_H_SK_model1,16
4b1x_1_A_B_model1,90
7w38_16_P_q_model1,69
9az4_1_D_D_model1,90
3j3q_1_QP_eK_model1,8
4v90_37_KA_BC_model1,11
6kxv_3_C_C_model1,86
6zks_40_OA_v_model1,81
7td0_3_C_A_model1,94
6skk_1_E_E_model1,8
4u3n_15_PC_c3_model1,91
3j3y_1_ZU_u_model1,8
7bt7_1_E_E_model1,90
3c1c_3_G_G_model1,14
7v5m_9_I_I_model1,71
3j3q_1_OC_cG_model1,8
8qv9_1_A_A_model1,25
5dat_53_CE_m7_model1,37
6fyy_6_F_C_model1,65
1mxo_1_A_A_model1,54
4v8t_27_AA_a_model1,74
7e8d_3_C_C_model1,14
3j3y_1_SHA_dm_model1,8
3o88_1_A_A_model1,54
8stt_1_A_A_model1,32
3grj_1_B_B_model1,54
8cmj_79_AC_y_model1,17
4a0v_1_C_C_model1,66
7zux_20_T_DN_model1,91
7xzz_4_D_D_model1,56
5ndw_16_FA_d1_model1,83
3j3q_1_FI_5R_model1,8
6g2t_1_B_B_model1,61
3mec_1_A_A_model1,22
3j3q_1_LTA_aL_model1,8
6r93_5_E_C_model1,86
1zho_2_G_E_model1,6
7qxx_30_RA_r_model1,60
7top_19_S_AL17_model1,37
3j3q_1_YQA_kz_model1,8
7xtd_29_CA_d_model1,56
4d6u_8_H_H_model1,46
5dgf_24_YC_d2_model1,17
7pet_4_D_H_model1,79
7nao_8_V_V_model1,71
9azp_1_E_E_model1,90
4qgb_1_A_A_model1,6
7d5s_5_E_SK_model1,16
3wa9_4_H_H_model1,56
3j3y_1_NF_a7_model1,8
5lyb_19_S_C7_model1,0
3j3q_1_RXA_fQ_model1,8
6c1g_3_F_D_model1,90
6inq_19_W_h_model1,56
4u52_24_YC_d2_model1,17
3azj_3_G_G_model1,86
4kt0_3_C_C_model1,41
3j3y_1_HDA_6C_model1,8
7zdp_25_Y_v_model1,81
3j3q_1_ZFA_la_model1,8
3a6n_4_H_H_model1,56
4u4y_63_KB_N7_model1,45
1azi_1_A_A_model1,15
6r8y_4_H_H_model1,56
3j3y_1_RB_cr_model1,8
7yyh_4_D_D_model1,34
8sn5_3_C_C_model1,14
8iai_4_J_B_model1,61
3j3y_1_XCA_hB_model1,8
5dgv_53_CE_m7_model1,37
4wqy_3_HB_CC_model1,11
2bls_1_B_B_model1,54
8av6_11_O_O_model1,14
6t20_1_D_D_model1,90
8r9g_1_A_A_model1,15
7t10_2_B_A_model1,94
4kza_1_B_B_model1,54
5h4p_8_H_E_model1,5
2w49_5_S_L_model1,90
4a13_1_I_I_model1,66
8h0w_18_V_g_model1,86
3j3y_1_LO_9O_model1,8
6la2_3_M_a_model1,14
1dwt_1_A_A_model1,15
3lue_1_D_D_model1,61
1eqy_2_B_A_model1,90
5xf3_4_D_D_model1,56
8p8n_42_PA_LJ_model1,5
5av9_4_H_H_model1,56
7vig_5_E_D_model1,21
6i7o_36_JA_G_model1,0
8v28_4_H_H_model1,56
1m18_5_F_D_model1,70
6l49_3_C_C_model1,86
3j8k_1_G_G_model1,90
6vz4_3_G_G_model5,40
1wua_1_A_A_model1,90
3j3y_1_VF_fq_model1,8
6g2t_1_C_C_model1,61
7trq_5_E_A_model1,64
2jiz_3_G_G_model1,38
2g0x_1_A_A_model2,88
8azk_13_AA_1_model1,92
3j3y_1_XL_hS_model1,8
3lp0_1_A_A_model1,32
8tqp_1_H_H_model1,25
5mva_1_S_S_model1,90
1o18_4_Z_Z_model1,90
6y5d_4_T_T_model1,79
6le9_4_D_D_model1,56
3j3q_1_QR_eO_model1,8
8osj_3_C_C_model1,86
8q36_5_I_HHH_model1,56
7zuw_64_LB_BZ_model1,74
5oj9_1_A_A_model1,19
6j4y_21_Y_g_model1,86
8f22_1_J_J_model1,25
3j3q_1_DLA_3t_model1,8
7lyb_9_M_G_model1,14
2xv6_1_C_C_model1,1
5jrg_4_D_D_model1,56
3j3y_1_OBA_aj_model1,8
7slr_1_B_B_model1,22
1hgj_2_D_D_model1,53
8bn3_28_BA_D1_model1,83
3j3y_1_YI_i4_model1,8
7vys_11_K_c_model1,18
4u50_43_QA_L6_model1,5
4u56_24_X_D2_model1,17
8i7w_2_B_B_model1,21
3kuy_4_H_H_model1,70
8ykw_1_A_A_model1,64
3j3q_1_KRA_9s_model1,8
3tu4_4_H_H_model1,70
4wqy_3_C_AC_model1,11
8cbj_32_FA_W_model1,17
8ra7_1_A_A_model1,15
2w49_5_Q_J_model1,90
4u50_24_YC_d2_model1,17
7vvu_7_K_U_model1,93
8glv_86_BKA_JD_model1,61
3j3y_1_FO_55_model1,8
3j3y_1_QAA_c7_model1,8
5ndg_19_S_C7_model1,0
3j3y_1_TOA_ei_model1,8
6bno_1_C_C_model1,90
4ym5_4_H_H_model1,56
7x7y_8_P_z_model1,75
4b2t_8_H_Z_model1,63
6yn1_1_U_e_model1,14
1iru_13_AA_1_model1,92
8g6g_3_G_G_model1,40
3j3y_1_RL_dA_model1,8
3j3y_1_VZ_gM_model1,8
3j3y_1_CLA_2p_model1,8
6skm_1_B_B_model1,8
8evj_6_F_D_model1,56
3j3q_1_QTA_eT_model1,8
3j3y_1_AIA_1G_model1,8
3j3y_1_BO_2A_model1,8
3j3q_1_ZYA_y_model1,8
8cvr_14_N_b_model1,33
7zs5_32_FA_Bb_model1,74
7u4d_4_H_H_model1,34
4hvu_1_A_A_model1,48
6upv_2_F_D_model1,90
4fnk_2_B_B_model1,59
8yvp_7_L_X_model1,28
5wfn_1_A_A_model1,61
6n8j_4_D_a_model1,74
7sx9_1_C_C_model1,90
4gy2_2_B_B_model1,90
3j3q_1_ZSA_m_model1,8
6vau_1_B_B_model1,90
7bt6_5_E_E_model1,5
8sn8_4_H_H_model1,56
5gsu_3_E_C_model1,14
3j3y_1_CG_2e_model1,8
4pao_1_A_A_model1,94
6ler_3_C_C_model1,14
7w3a_18_R_r_model1,60
4u51_19_TC_c7_model1,0
4u4r_4_D_S2_model1,87
3j3q_1_UMA_hY_model1,8
8pw6_8_H_H_model1,96
8j6l_1_A_A_model1,64
6zke_40_OA_v_model1,81
3j3q_1_G_6_model1,8
6kiw_4_H_H_model1,56
3j3y_1_MIA_9w_model1,8
3j3q_1_ED_4S_model1,8
6see_3_C_C_model1,14
8r9i_1_A_A_model1,15
6t7i_5_E_SC_model1,87
4jxs_1_B_B_model1,54
5av8_3_C_C_model1,86
7taz_1_A_A_model1,9
5jus_5_E_E_model1,55
7pii_4_H_H_model1,34
7u4d_3_N_N_model1,31
4fqr_2_P_P_model1,59
3a5n_2_B_C_model1,61
3j3q_1_DBA_3Z_model1,8
8r9j_1_A_A_model1,15
6yov_4_H_H_model1,56
9ja0_1_G_G_model1,8
5thf_2_B_B_model1,59
6rbe_13_M_R_model1,0
7pfx_4_H_R_model1,79
7kjx_1_A_A_model1,32
8evi_6_J_H_model1,56
7nvl_9_R_z_model1,75
6ltj_7_K_K_model1,61
5onv_1_C_C_model1,90
8h9u_3_G_G_model1,36
7d63_10_J_SK_model1,16
3j3y_1_LS_9W_model1,8
8shf_9_I_Z_model1,75
3j3y_1_LG_98_model1,8
3i0s_1_A_A_model1,22
3j3y_1_FX_5J_model1,8
7w3m_18_QA_R_model1,60
6zki_40_OA_v_model1,81
5ggw_1_A_A_model1,57
8osj_3_G_G_model1,86
7ug6_19_S_P_model1,37
7bt7_1_C_C_model1,90
5av8_4_D_D_model1,56
7pm3_1_A_B_model1,90
6k1p_4_D_D_model1,70
5xm0_4_H_H_model1,56
8uz1_1_I_R_model1,90
5vfs_13_M_s_model1,92
6jm9_6_F_D_model1,56
5ley_8_V_V_model1,71
6usj_5_E_C_model1,86
8v7l_4_D_D_model1,70
6vao_1_C_B_model1,90
3x1v_4_I_G_model1,14
6z6j_63_KB_LZ_model1,45
5oxv_2_F_H_model1,70
7ksq_7_G_C_model1,43
3j3y_1_GGA_5a_model1,8
4a13_1_F_F_model1,66
3j3q_1_KOA_9m_model1,8
4v88_63_KB_BZ_model1,45
6vz4_3_C_C_model9,40
8hki_3_F_d_model1,52
7y7i_4_H_H_model1,56
5av9_4_D_D_model1,56
6zqn_3_G_G_model1,38
6kwy_11_Y_Y_model1,60
4twu_1_A_A_model1,88
4v6i_44_RA_BO_model1,74
3j3y_1_MLA_C_model1,8
6ler_3_G_G_model1,14
3kle_1_A_A_model1,32
2rvq_1_A_C_model4,14
4wyb_1_O_O_model1,90
3j3q_1_KM_9h_model1,8
8oid_1_E_E_model1,61
4u4n_23_W_D1_model1,83
1p3a_4_E_C_model1,49
8feg_1_A_C_model1,64
8jh3_18_V_g_model1,14
7bt6_24_X_Z_model1,45
3j3y_1_DU_3o_model1,8
3j3q_1_ENA_4n_model1,8
1xgi_1_B_B_model1,54
7wbv_22_Z_h_model1,56
5ycj_1_A_A_model1,88
8ffx_1_A_A_model1,9
6a5p_19_S_d_model1,56
5m1j_66_NB_P5_model1,37
5vfp_13_KA_S_model1,92
2q0r_1_A_A_model1,90
3mnn_4_D_D_model1,70
2fri_1_A_X_model1,15
5it9_10_J_J_model1,76
8i7j_19_S_R_model1,12
3j3q_1_TL_gg_model1,8
6zkv_40_OA_v_model1,81
3j3q_1_TEA_gT_model1,8
7d20_3_D_C_model1,86
3j3q_1_MMA_ax_model1,8
3j3q_1_VG_iA_model1,8
7cow_6_R_R_model1,56
4hvv_1_A_A_model1,48
3j3y_1_OB_ai_model1,8
7vdl_1_A_A_model1,21
3j3q_1_WK_j7_model1,8
8ceo_50_BB_u_model1,70
1yag_1_A_A_model1,61
8w8b_1_A_A_model1,64
3jam_11_K_J_model1,76
3j3q_1_ZDA_lO_model1,8
5dc3_64_LB_N8_model1,74
6gvc_1_B_B_model1,90
3j3q_1_GJ_6I_model1,8
3lal_1_B_B_model1,22
8tof_10_L_c_model1,40
3b6g_5_I_G_model1,14
8du4_3_G_G_model1,40
2pu2_1_B_B_model1,54
7w3a_19_GA_S_model1,92
7swy_4_H_H_model1,56
3j3q_1_PLA_dO_model1,8
2q1n_1_B_B_model1,90
7pm0_3_C_C_model1,90
1k0t_1_A_A_model16,41
3j3q_1_RE_eo_model1,8
5obm_55_CB_S9_model1,16
7wfe_3_C_BC_model1,43
6y9v_1_B_B_model1,8
4u3n_23_XC_d1_model1,83
4g5r_1_D_D_model1,94
3j3q_1_TKA_gf_model1,8
8cvs_8_V_V_model1,71
6vz4_4_H_H_model3,56
6znn_2_B_H_model1,61
4u4r_53_CE_m7_model1,37
8p94_8_J_J_model1,61
5gzw_1_B_B_model1,57
5gjr_31_EA_f_model1,92
3j3q_1_PQA_dY_model1,8
4u0b_1_C_C_model1,25
6l4a_3_C_C_model1,86
